Path,File,Date Acquired,Sample,Misc
D:\MassHunter\GCMS\1\data\20181213\,H501.D,13 Dec 2018  19:03    ,H501, 
TIC: H501.D\data.ms,,,,
3.518,18422,,,
3.521,18943,,,
3.525,18922,,,
3.528,19058,,,
3.532,20182,,,
3.535,19297,,,
3.538,19740,,,
3.542,21141,,,
3.545,21905,,,
3.548,22183,,,
3.552,23027,,,
3.555,22891,,,
3.559,23723,,,
3.562,27085,,,
3.565,31159,,,
3.569,37531,,,
3.572,43328,,,
3.575,45011,,,
3.579,48315,,,
3.582,46224,,,
3.586,41538,,,
3.589,38745,,,
3.592,35680,,,
3.596,32668,,,
3.599,29362,,,
3.602,27271,,,
3.606,25218,,,
3.609,23141,,,
3.613,22840,,,
3.616,22322,,,
3.619,21626,,,
3.623,20790,,,
3.626,20868,,,
3.629,19204,,,
3.633,20527,,,
3.636,21526,,,
3.64,23064,,,
3.643,26356,,,
3.646,29077,,,
3.65,31511,,,
3.653,34040,,,
3.656,36123,,,
3.66,36537,,,
3.663,36836,,,
3.667,35592,,,
3.67,31776,,,
3.673,28309,,,
3.677,26716,,,
3.68,22916,,,
3.683,21306,,,
3.687,19729,,,
3.69,18751,,,
3.694,18648,,,
3.697,18550,,,
3.7,18064,,,
3.704,17826,,,
3.707,18677,,,
3.71,18264,,,
3.714,17012,,,
3.717,17451,,,
3.721,17655,,,
3.724,17094,,,
3.727,17208,,,
3.731,17699,,,
3.734,17768,,,
3.737,17828,,,
3.741,17606,,,
3.744,17176,,,
3.748,17460,,,
3.751,17078,,,
3.754,17776,,,
3.758,17512,,,
3.761,16988,,,
3.764,16348,,,
3.768,17216,,,
3.771,17339,,,
3.775,16881,,,
3.778,16611,,,
3.781,17052,,,
3.785,17006,,,
3.788,16974,,,
3.791,16985,,,
3.795,17002,,,
3.798,16837,,,
3.802,16803,,,
3.805,17040,,,
3.808,16441,,,
3.812,17535,,,
3.815,16688,,,
3.818,16288,,,
3.822,16411,,,
3.825,17222,,,
3.829,16222,,,
3.832,16354,,,
3.835,16081,,,
3.839,16162,,,
3.842,16769,,,
3.845,16444,,,
3.849,16468,,,
3.852,16810,,,
3.856,16025,,,
3.859,16479,,,
3.862,16107,,,
3.866,15577,,,
3.869,16126,,,
3.872,16074,,,
3.876,16213,,,
3.879,16386,,,
3.883,15758,,,
3.886,15840,,,
3.889,15947,,,
3.893,15479,,,
3.896,16367,,,
3.899,15769,,,
3.903,15835,,,
3.906,16193,,,
3.91,16044,,,
3.913,15722,,,
3.916,15989,,,
3.92,16345,,,
3.923,16293,,,
3.926,15710,,,
3.93,16032,,,
3.933,15199,,,
3.937,15349,,,
3.94,15267,,,
3.943,15265,,,
3.947,14988,,,
3.95,15424,,,
3.953,15431,,,
3.957,15258,,,
3.96,15058,,,
3.964,16027,,,
3.967,15617,,,
3.97,15935,,,
3.974,15416,,,
3.977,15002,,,
3.98,14723,,,
3.984,15557,,,
3.987,15250,,,
3.991,15482,,,
3.994,15178,,,
3.997,14814,,,
4.001,14791,,,
4.004,15169,,,
4.007,15668,,,
4.011,15228,,,
4.014,15118,,,
4.018,15168,,,
4.021,15150,,,
4.024,15486,,,
4.028,15462,,,
4.031,15017,,,
4.034,15079,,,
4.038,15419,,,
4.041,15014,,,
4.045,15476,,,
4.048,15512,,,
4.051,15125,,,
4.055,15651,,,
4.058,14764,,,
4.061,14417,,,
4.065,14415,,,
4.068,14730,,,
4.072,14757,,,
4.075,14678,,,
4.078,14417,,,
4.082,14452,,,
4.085,15163,,,
4.088,15634,,,
4.092,14307,,,
4.095,14711,,,
4.099,14208,,,
4.102,14588,,,
4.105,15108,,,
4.109,15107,,,
4.112,14949,,,
4.115,15096,,,
4.119,15301,,,
4.122,14587,,,
4.126,14152,,,
4.129,14440,,,
4.132,14149,,,
4.136,14739,,,
4.139,14733,,,
4.142,14279,,,
4.146,14305,,,
4.149,14486,,,
4.153,13903,,,
4.156,14429,,,
4.159,14376,,,
4.163,13813,,,
4.166,14066,,,
4.169,14179,,,
4.173,14257,,,
4.176,14143,,,
4.18,13623,,,
4.183,14628,,,
4.186,13852,,,
4.19,14404,,,
4.193,14167,,,
4.196,14161,,,
4.2,13848,,,
4.203,13545,,,
4.207,14212,,,
4.21,13690,,,
4.213,13910,,,
4.217,14056,,,
4.22,14060,,,
4.223,13945,,,
4.227,14361,,,
4.23,14088,,,
4.234,14089,,,
4.237,14202,,,
4.24,14193,,,
4.244,13933,,,
4.247,13719,,,
4.25,14539,,,
4.254,13908,,,
4.257,13698,,,
4.261,13423,,,
4.264,13921,,,
4.267,14133,,,
4.271,14515,,,
4.274,13741,,,
4.277,14028,,,
4.281,13444,,,
4.284,13349,,,
4.288,14075,,,
4.291,14520,,,
4.294,13667,,,
4.298,13474,,,
4.301,13933,,,
4.304,13913,,,
4.308,13849,,,
4.311,13349,,,
4.315,13779,,,
4.318,13667,,,
4.321,14248,,,
4.325,14982,,,
4.328,15885,,,
4.331,17314,,,
4.335,19156,,,
4.338,20570,,,
4.342,21566,,,
4.345,24195,,,
4.348,24607,,,
4.352,24081,,,
4.355,24935,,,
4.358,23420,,,
4.362,21571,,,
4.365,21861,,,
4.369,19124,,,
4.372,18677,,,
4.375,17729,,,
4.379,16677,,,
4.382,16210,,,
4.385,14837,,,
4.389,14108,,,
4.392,13945,,,
4.396,13778,,,
4.399,13254,,,
4.402,13163,,,
4.406,13197,,,
4.409,13336,,,
4.412,13751,,,
4.416,13534,,,
4.419,14230,,,
4.423,13048,,,
4.426,12947,,,
4.429,13292,,,
4.433,13951,,,
4.436,13354,,,
4.439,12569,,,
4.443,13421,,,
